placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p18,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p18,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p18,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p19,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p19,2013-07-04,Erica,13.00,14.50,26.50,20.50,22.50,12.00,15.50,4.00,13.50,15.00,,,,,,,,,,
p19,2013-07-04,Sphagnum,49.50,,,,,,,,,,,,,,,,,,,
p19,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p19,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p19,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p19,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p19,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p20,2013-07-04,Calluna,26.00,22.00,15.00,10.00,,,,,,,,,,,,,,,,
p20,2013-07-04,Erica,,,,,,,,,,,,,,,,,,,,
p20,2013-07-04,Sphagnum,,,,,,,,,,,,,,,,,,,,
p20,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p20,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p20,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p20,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p20,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
