IDech,typeVeg,rep,height,embase,cal_val,localisation
38,caluna,h5,NA,NA,cal,lab
38,caluna,h6,NA,NA,cal,lab
38,caluna,h7,NA,NA,cal,lab
38,caluna,h8,NA,NA,cal,lab
38,caluna,h9,NA,NA,cal,lab
38,caluna,h10,NA,NA,cal,lab
38,caluna,h11,NA,NA,cal,lab
38,caluna,h12,NA,NA,cal,lab
39,caluna,h1,70,NA,cal,lab
39,caluna,h2,59,NA,cal,lab
39,caluna,h3,52,NA,cal,lab
39,caluna,h4,45,NA,cal,lab
39,caluna,h5,77,NA,cal,lab
39,caluna,h6,93,NA,cal,lab
39,caluna,h7,53,NA,cal,lab
39,caluna,h8,52,NA,cal,lab
39,caluna,h9,NA,NA,cal,lab
39,caluna,h10,NA,NA,cal,lab
39,caluna,h11,NA,NA,cal,lab
39,caluna,h12,NA,NA,cal,lab
40,caluna,h1,71,NA,cal,lab
40,caluna,h2,74,NA,cal,lab
40,caluna,h3,,NA,cal,lab
40,caluna,h4,NA,NA,cal,lab
40,caluna,h5,NA,NA,cal,lab
40,caluna,h6,NA,NA,cal,lab
40,caluna,h7,NA,NA,cal,lab
40,caluna,h8,NA,NA,cal,lab
40,caluna,h9,NA,NA,cal,lab
40,caluna,h10,NA,NA,cal,lab
40,caluna,h11,NA,NA,cal,lab
40,caluna,h12,NA,NA,cal,lab
41,caluna,h1,NA,NA,cal,lab
41,caluna,h2,NA,NA,cal,lab
41,caluna,h3,,NA,cal,lab
41,caluna,h4,NA,NA,cal,lab
41,caluna,h5,NA,NA,cal,lab
41,caluna,h6,NA,NA,cal,lab
41,caluna,h7,NA,NA,cal,lab
41,caluna,h8,NA,NA,cal,lab
41,caluna,h9,NA,NA,cal,lab
41,caluna,h10,NA,NA,cal,lab
41,caluna,h11,NA,NA,cal,lab
41,caluna,h12,NA,NA,cal,lab
42,caluna,h1,50,NA,cal,lab
42,caluna,h2,46,NA,cal,lab
42,caluna,h3,44,NA,cal,lab
42,caluna,h4,55,NA,cal,lab
42,caluna,h5,55,NA,cal,lab
42,caluna,h6,NA,NA,cal,lab
42,caluna,h7,NA,NA,cal,lab
42,caluna,h8,NA,NA,cal,lab
42,caluna,h9,NA,NA,cal,lab
42,caluna,h10,NA,NA,cal,lab
42,caluna,h11,NA,NA,cal,lab
42,caluna,h12,NA,NA,cal,lab
43,caluna,h1,45,NA,cal,lab
43,caluna,h2,42,NA,cal,lab
43,caluna,h3,65,NA,cal,lab
43,caluna,h4,56,NA,cal,lab
43,caluna,h5,43,NA,cal,lab
43,caluna,h6,48,NA,cal,lab
43,caluna,h7,47,NA,cal,lab
43,caluna,h8,NA,NA,cal,lab
43,caluna,h9,NA,NA,cal,lab
43,caluna,h10,NA,NA,cal,lab
43,caluna,h11,NA,NA,cal,lab
43,caluna,h12,NA,NA,cal,lab
45,caluna,h1,77,NA,cal,lab
45,caluna,h2,88,NA,cal,lab
45,caluna,h3,,NA,cal,lab
45,caluna,h4,NA,NA,cal,lab
45,caluna,h5,NA,NA,cal,lab
45,caluna,h6,NA,NA,cal,lab
45,caluna,h7,NA,NA,cal,lab
45,caluna,h8,NA,NA,cal,lab
45,caluna,h9,NA,NA,cal,lab
45,caluna,h10,NA,NA,cal,lab
45,caluna,h11,NA,NA,cal,lab
45,caluna,h12,NA,NA,cal,lab
46,caluna,h1,52,NA,cal,lab
46,caluna,h2,72,NA,cal,lab
46,caluna,h3,79,NA,cal,lab
46,caluna,h4,69,NA,cal,lab
46,caluna,h5,78,NA,cal,lab
46,caluna,h6,NA,NA,cal,lab
46,caluna,h7,NA,NA,cal,lab
46,caluna,h8,NA,NA,cal,lab
46,caluna,h9,NA,NA,cal,lab
46,caluna,h10,NA,NA,cal,lab
46,caluna,h11,NA,NA,cal,lab
46,caluna,h12,NA,NA,cal,lab
47,caluna,h1,67,NA,cal,lab
47,caluna,h2,72,NA,cal,lab
47,caluna,h3,50,NA,cal,lab
47,caluna,h4,67,NA,cal,lab
47,caluna,h5,56,NA,cal,lab
47,caluna,h6,58,NA,cal,lab
47,caluna,h7,57,NA,cal,lab
47,caluna,h8,56,NA,cal,lab
47,caluna,h9,68,NA,cal,lab
47,caluna,h10,42,NA,cal,lab
47,caluna,h11,60,NA,cal,lab
47,caluna,h12,43,NA,cal,lab
48,caluna,h1,60,NA,cal,lab
48,caluna,h2,50,NA,cal,lab
48,caluna,h3,48,NA,cal,lab
48,caluna,h4,64,NA,cal,lab
48,caluna,h5,61,NA,cal,lab
48,caluna,h6,66,NA,cal,lab
